iter	Passed	Remaining
403	11053	16305
404	11079	16277
405	11107	16250
406	11135	16225
407	11166	16201
408	11192	16173
409	11219	16145
410	11247	16118
411	11274	16090
412	11300	16062
413	11326	16032
414	11353	16004
415	11380	15975
416	11406	15947
417	11434	15920
418	11462	15894
419	11489	15866
420	11516	15838
421	11542	15809
422	11568	15780
423	11596	15753
424	11623	15725
425	11650	15698
426	11677	15670
427	11703	15641
428	11731	15614
429	11758	15586
430	11784	15558
431	11811	15529
432	11837	15501
433	11863	15472
434	11890	15443
435	11917	15415
436	11943	15387
437	11969	15358
438	11995	15328
439	12023	15302
440	12050	15275
441	12077	15246
442	12102	15216
443	12129	15189
444	12155	15160
445	12181	15131
446	12207	15102
447	12234	15074
448	12262	15048
449	12288	15019
450	12316	14992
451	12342	14964
452	12372	14939
453	12399	14912
454	12424	14882
455	12451	14854
456	12478	14826
457	12505	14799
458	12532	14771
459	12559	14743
460	12588	14718
461	12621	14698
462	12650	14672
463	12678	14645
464	12708	14621
465	12735	14593
466	12763	14566
467	12790	14539
468	12816	14510
469	12844	14484
470	12874	14459
471	12901	14431
472	12927	14403
473	12953	14374
474	12979	14346
475	13006	14317
476	13034	14291
477	13061	14263
478	13093	14241
479	13120	14213
480	13146	14185
481	13173	14157
482	13200	14130
483	13227	14102
484	13253	14073
485	13281	14046
486	13307	14018
487	13334	13990
488	13363	13965
489	13390	13937
490	13418	13910
491	13445	13882
492	13473	13855
493	13499	13827
494	13528	13801
495	13555	13774
496	13583	13747
497	13610	13719
498	13635	13690
499	13661	13661
500	13688	13634
501	13715	13606
502	13741	13577
503	13767	13548
504	13794	13521
505	13821	13493
506	13848	13466
507	13874	13437
508	13901	13409
509	13927	13381
510	13961	13360
511	13988	13333
512	14015	13304
513	14043	13278
514	14069	13249
515	14095	13221
516	14121	13193
517	14149	13165
518	14175	13137
519	14201	13108
520	14229	13082
521	14255	13054
522	14281	13025
523	14307	12997
524	14334	12969
525	14361	12942
526	14387	12913
527	14414	12885
528	14441	12858
529	14467	12829
530	14493	12801
